word1;word2;n
top;dim;  7
top;spot;  7
want;dim;  7
adventurous;eater;  6
amazing;atmosphere;  6
amazing;dining;  6
amazing;highly;  6
amazing;staff;  6
avoid;peak;  6
awesome;dim;  6
awesome;service;  6
beautiful;decoration;  6
beautiful;harbour;  6
best;egg;  6
best;halal;  6
best;location;  6
best;lunch;  6
better;choices;  6
better;dumplings;  6
better;experience;  6
big;mistake;  6
brilliant;service;  6
certain;level;  6
clean;environment;  6
clean;fresh;  6
clear;day;  6
clear;soup;  6
comfortable;environment;  6
courteous;service;  6
crazy;busy;  6
disappoint;service;  6
disappointed;excellent;  6
disappointing;meal;  6
dreams;macau;  6
excellent;attentive;  6
excellent;cuisine;  6
excellent;english;  6
excellent;excellent;  6
excellent;location;  6
excellent;price;  6
fantastic;chinese;  6
fantastic;dining;  6
fine;meal;  6
fired;rice;  6
flagship;restaurant;  6
fresh;dumplings;  6
fresh;fruit;  6
fresh;mango;  6
fresh;shrimps;  6
friendly;atmosphere;  6
friendly;professional;  6
fun;experience;  6
fun;night;  6
fun;rice;  6
good;authentic;  6
good;cheap;  6
good;chicken;  6
good;ingredients;  6
good;pork;  6
good;portion;  6
good;pricing;  6
good;server;  6
good;traditional;  6
great;asian;  6
great;attentive;  6
great;bar;  6
great;culinary;  6
great;dish;  6
great;highly;  6
great;hospitality;  6
great;hotel;  6
great;vibe;  6
huge;line;  6
huge;range;  6
interesting;experience;  6
like;dining;  6
like;drinking;  6
like;har;  6
like;royalty;  6
lonely;planet;  6
love;coming;  6
natural;light;  6
nice;balance;  6
nice;clean;  6
nice;surprise;  6
no;ambiance;  6
no;credit;  6
no;pork;  6
no;sign;  6
no;smiles;  6
no;surprises;  6
no;taste;  6
no;views;  6
no;water;  6
no;window;  6
outstanding;restaurant;  6
outstanding;views;  6
perfect;dim;  6
perfect;location;  6
perfect;meal;  6
perfectly;crisp;  6
pleasant;meal;  6
pretty;nice;  6
pretty;ordinary;  6
rainy;day;  6
recommend;din;  6
recommend;dishes;  6
recommend;mott;  6
recommended;food;  6
rich;taste;  6
super;crispy;  6
super;expensive;  6
super;service;  6
superb;quality;  6
superb;wine;  6
terrific;service;  6
thank;goodness;  6
top;service;  6
trouble;finding;  6
warm;friendly;  6
wishing;tree;  6
wonderful;night;  6
wonderful;presentation;  6
wonderful;setting;  6
worth;coming;  6
worth;queuing;  6
accept;credit;  5
accept;reservations;  5
amazing;evening;  5
amazing;peking;  5
amazing;selection;  5
avoid;waiting;  5
bad;dim;  5
beaten;track;  5
beautiful;décor;  5
beautiful;interior;  5
beautiful;service;  5
beautiful;window;  5
beautifully;designed;  5
best;bit;  5
best;dessert;  5
best;fine;  5
best;fried;  5
best;item;  5
best;option;  5
best;shrimp;  5
best;siu;  5
best;staff;  5
best;table;  5
best;tim;  5
better;dimsum;  5
better;tasting;  5
big;disappointment;  5
big;eater;  5
big;menu;  5
big;variety;  5
carefully;selected;  5
certain;dishes;  5
comfortable;atmosphere;  5
comfortable;seating;  5
comprehensive;menu;  5
dirt;cheap;  5
disappointing;food;  5
easy;access;  5
elegant;chinese;  5
elegant;environment;  5
enjoy;lunch;  5
excellent;friendly;  5
excellent;nice;  5
excellent;standard;  5
excellent;suggestions;  5
excellent;traditional;  5
fabulous;chinese;  5
fair;share;  5
fantastic;lunch;  5
fantastic;staff;  5
fine;wines;  5
fond;memories;  5
fresh;abalone;  5
fresh;crunchy;  5
fresh;price;  5
friendly;highly;  5
friendly;people;  5
friendly;stuff;  5
generous;service;  5
generous;serving;  5
good;5;  5
good;attitude;  5
good;beef;  5
good;company;  5
good;crab;  5
good;customer;  5
